first_pref,age_group,gender,education,division,state,ALP_supporter
LNP,ages30to44,Female,gradDipDipCertIIIandIV,Corio,VIC,0
LNP,ages60plus,Male,highSchoolorCertIorIIorLess,Corangamite,VIC,0
Unsure,ages30to44,Male,bachelorDegree,Corangamite,VIC,0
Unsure,ages18to29,Female,bachelorDegree,Corangamite,VIC,0
GRN,ages30to44,Male,bachelorDegree,Corangamite,VIC,0
ALP,ages18to29,Male,highSchoolorCertIorIIorLess,Corio,VIC,1
GRN,ages60plus,Female,postgraduateDegree,Ballarat,VIC,0
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Ballarat,VIC,0
ALP,ages30to44,Female,highSchoolorCertIorIIorLess,Corangamite,VIC,1
ALP,ages45to59,Male,bachelorDegree,Wannon,VIC,1
ALP,ages45to59,Male,highSchoolorCertIorIIorLess,Wills,VIC,1
Unsure,ages45to59,Female,bachelorDegree,Bendigo,VIC,0
Other,ages18to29,Male,gradDipDipCertIIIandIV,Bendigo,VIC,0
ALP,ages30to44,Female,highSchoolorCertIorIIorLess,Bendigo,VIC,1
LNP,ages60plus,Male,highSchoolorCertIorIIorLess,Mallee,VIC,0
GRN,ages45to59,Female,postgraduateDegree,Bendigo,VIC,0
Other,ages30to44,Female,highSchoolorCertIorIIorLess,Nicholls,VIC,0
Unsure,ages18to29,Female,highSchoolorCertIorIIorLess,Wannon,VIC,0
ALP,ages30to44,Female,gradDipDipCertIIIandIV,Wannon,VIC,1
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Monash,VIC,0
ALP,ages45to59,Female,bachelorDegree,Monash,VIC,1
LNP,ages45to59,Male,gradDipDipCertIIIandIV,Nicholls,VIC,0
LNP,ages60plus,Female,highSchoolorCertIorIIorLess,Farrer,NSW,0
LNP,ages18to29,Female,gradDipDipCertIIIandIV,La Trobe,VIC,0
LNP,ages45to59,Male,postgraduateDegree,Flinders,VIC,0
ALP,ages30to44,Male,gradDipDipCertIIIandIV,Clark,TAS,1
Other,ages45to59,Female,postgraduateDegree,Clark,TAS,0
Other,ages60plus,Female,highSchoolorCertIorIIorLess,Clark,TAS,0
ALP,ages45to59,Female,gradDipDipCertIIIandIV,Lyons,TAS,1
ALP,ages18to29,Male,gradDipDipCertIIIandIV,Franklin,TAS,1
LNP,ages45to59,Female,gradDipDipCertIIIandIV,Lyons,TAS,0
