Year,Elect_div,State,PollingPlaceID,Latitude,Longitude
2016,Blaxland,NSW,169,-33.9120805,150.9925655
2016,Parramatta,NSW,46624,-33.8481385,151.0106418
2016,Parramatta,NSW,2380,-33.8488183,150.9961068
2016,Blaxland,NSW,2390,-33.8608949,150.9962856
2016,Reid,NSW,79934,-33.860616,151.0472488
2016,Watson,NSW,65744,-33.865409,151.044503
2016,Watson,NSW,79935,-33.8654,151.045
2016,Blaxland,NSW,174,-33.9418,150.98
2016,Parramatta,NSW,66017,-33.8142474,151.0036363
2016,Blaxland,NSW,2391,-33.885711,151.023368
2016,Banks,NSW,79866,-33.9447,151.017
2016,Blaxland,NSW,2393,-33.8872,151.009
2016,Blaxland,NSW,2394,-33.841564,151.038377
2016,Blaxland,NSW,82575,-33.86093,151.032588
2016,Blaxland,NSW,82576,-33.9321923,151.0235904
2016,Sydney,NSW,32339,-33.8730501,151.2064528
2016,Blaxland,NSW,2396,-33.8895,150.986
2016,Blaxland,NSW,180,-33.9056,151.025
2016,Blaxland,NSW,182,-33.9064,151.021
2016,Bradfield,NSW,115,-33.6855,151.112
2016,North Sydney,NSW,65455,-33.7981824,151.1818539
2016,Bradfield,NSW,2011,-33.7831013,151.2024443
2016,Bradfield,NSW,79987,-33.7957148,151.1836982
2016,North Sydney,NSW,58723,-33.7982897,151.1819191
2016,North Sydney,NSW,56721,-33.798273,151.1782533
2016,North Sydney,NSW,30099,-33.7982897,151.1819191
2016,Bradfield,NSW,194,-33.75679,151.15251
2016,Bradfield,NSW,195,-33.7459209,151.1574345
2016,Bradfield,NSW,33948,-33.753862,151.1513186
2016,Bradfield,NSW,196,-33.7601,151.139
2016,Berowra,NSW,43833,-33.7,151.097
2016,Berowra,NSW,65110,-33.7042776,151.0972238
2016,Bradfield,NSW,127,-33.7064,151.102
2016,Bradfield,NSW,33771,-33.70282,151.105087
2016,Berowra,NSW,82528,-33.70446,151.097122
2016,Bradfield,NSW,198,-33.7662135,151.1645279
2016,Bradfield,NSW,199,-33.7560824,151.1740076
2016,Bradfield,NSW,129,-33.7565262,151.1131977
2016,Bradfield,NSW,201,-33.77448,151.17282
2016,Bradfield,NSW,202,-33.7681,151.184
2016,Bradfield,NSW,203,-33.78106,151.16972
2016,Bradfield,NSW,204,-33.77468,151.14553
2016,Bradfield,NSW,133,-33.7237,151.098
2016,Bradfield,NSW,206,-33.7395,151.137
2016,Bradfield,NSW,137,-33.731839,151.1411654
2016,Bradfield,NSW,207,-33.76394,151.12354
2016,Bradfield,NSW,208,-33.7842,151.179311
2016,Bradfield,NSW,210,-33.782,151.188
2016,Bradfield,NSW,2032,-33.786608,151.1895499
2016,Bradfield,NSW,211,-33.7291,151.1604
2016,Bradfield,NSW,212,-33.7084749,151.1632003
2016,Bradfield,NSW,213,-33.7187,151.164
2016,Bradfield,NSW,188,-33.72443,151.17794
2016,Bradfield,NSW,214,-33.7403,151.167
2016,Sydney,NSW,31029,-33.8730501,151.2064528
2016,Bradfield,NSW,140,-33.7292,151.128
2016,Bradfield,NSW,141,-33.7147,151.147
2016,Bradfield,NSW,142,-33.7446,151.113
2016,Bradfield,NSW,130,-33.6916382,151.151591
2016,Bradfield,NSW,143,-33.716189,151.1182789
2016,Bradfield,NSW,144,-33.7155,151.128
2016,Bradfield,NSW,145,-33.7081,151.111
2016,Bradfield,NSW,125,-33.7041743,151.1111134
2016,Bradfield,NSW,147,-33.73,151.123
2016,Calare,NSW,219,-33.6464839,149.2717135
2016,Calare,NSW,220,-33.4217,149.571
2016,Calare,NSW,221,-33.42,149.577
2016,Calare,NSW,31071,-33.4163,149.58
2016,Calare,NSW,223,-33.4129,149.569
2016,Calare,NSW,224,-33.4168456,149.5813358
2016,Calare,NSW,33861,-33.4152888,149.5788796
2016,Calare,NSW,225,-33.4337,149.569
2016,Calare,NSW,227,-33.4118,149.559
2016,Calare,NSW,1750,-33.8463,149.742
2016,Calare,NSW,228,-33.529,149.252
2016,Calare,NSW,229,-33.2693,149.103
2016,Calare,NSW,65499,-33.2861219,149.1010431
2016,Calare,NSW,2157,-33.251,148.984
2016,Calare,NSW,231,-33.2802,149.118
2016,Calare,NSW,232,-33.5152,150.120477
2016,Calare,NSW,1753,-33.9482366,149.5295923
2016,Calare,NSW,235,-33.2872,149.08
2016,Calare,NSW,236,-33.3062,149.047
2016,Calare,NSW,2161,-33.5577156,148.6706656
2016,Calare,NSW,237,-33.1465683,149.9867103
2016,Calare,NSW,238,-33.6118941,149.1420543
2016,Calare,NSW,2162,-33.4277553,148.8078627
2016,Calare,NSW,241,-33.4839494,150.141751
2016,Calare,NSW,2170,-33.2873619,148.7403241
2016,Calare,NSW,242,-33.2995,150.033
2016,Calare,NSW,2171,-32.92905,148.748647
2016,Calare,NSW,30100,-33.2861088,149.1016066
2016,Calare,NSW,244,-33.3778328,149.5401417
2016,Calare,NSW,2183,-33.4237,148.369
2016,Calare,NSW,2191,-32.3961,148.829
2016,Calare,NSW,249,-33.0426996,150.2143916
2016,Calare,NSW,250,-33.2972043,149.1117993
